Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7140351007966435,0.9998342394828796,569.1883924391386,851.8756583567416,0.9999700784683228,612.329924508427,805.3359813904494,0.999968409538269,519.9148525280899,807.3509187734082,0.9994776248931885,670.8125585205994,835.0991924157304,0.9995663166046143,471.3426088483146,840.987900866105,0.981866717338562,809.2398174157304,1065.931721090824,0.9743788838386536,341.2873800327716,1075.6028353230338,0.9555666446685791,941.8420821629213,1391.827890917603,0.9773170948028564,210.7693995786517,1426.7826837546818,0.9992156028747559,754.4943820224719,1217.9095710440076,0.9949391484260559,408.6519779962547,1203.7869411282772,0.5141425132751465,735.0028528792136,1758.7668246722847,0.6948995590209961,727.8566099016855,1795.53517088015,0.006008028984069824,527.8751170411986,1902.8543422284645,0.013926565647125244,742.5538389513108,1806.547430945693,0.018838584423065186,296.04686036985026,1861.966877340824,0.00868070125579834,288.46902797284645,1863.5129915730338
1,0.7091928282204796,0.9998185634613037,570.7228025514981,851.6777855805244,0.9999725222587585,613.2248507724719,805.3941362359551,0.9999704957008362,521.170704588015,807.5931940543071,0.9995235800743103,671.7974602059926,835.2296933520599,0.9995428323745728,471.96929131554305,840.6630383895132,0.9814034700393677,809.5145716292136,1063.4311358848315,0.9810240268707275,342.1204939138577,1076.59688085206,0.9606738090515137,941.8678312265918,1392.6758544007491,0.9732997417449951,215.0092169943821,1424.8763752340824,0.9990708231925964,755.6942006086142,1215.5457777387642,0.9949156045913696,410.8734930945693,1213.9205875468165,0.6503636837005615,406.29696278089887,1841.462429775281,0.46693795919418335,715.7151948735955,1855.796026451311,0.006871640682220459,350.65462605337086,1975.8220681179776,0.008451581001281738,370.1735135767791,1968.776480571161,0.022941619157791138,296.50405255149815,1861.9120142790264,0.011496126651763916,289.51281601123594,1861.3162745786517
2,0.7024398761637071,0.9997966885566711,570.5775251638577,851.9837020131087,0.9999696016311646,613.9747922518727,805.7362622893259,0.9999707341194153,522.8432964653558,807.4577920177903,0.9996016025543213,672.8402241338952,834.9305067883895,0.9994980096817017,472.6507636938203,840.2223051264045,0.9825922250747681,811.2492684925094,1065.1719042602997,0.9817488193511963,350.1675152153558,1076.4547489466293,0.9586445689201355,945.1698560393259,1394.6763810861423,0.9644021391868591,211.21181530898878,1425.9840238764045,0.9989515542984009,753.8815981975656,1204.3798279494383,0.9965426921844482,415.04147647471916,1219.546319054307,0.5497825741767883,717.8829441713483,1734.8067357209738,0.4737015664577484,422.3036633895132,1815.6137347846443,0.0056972503662109375,349.39050795880155,1974.7444112827716,0.008207648992538452,369.8181472378277,1968.8010592228466,0.014993727207183838,291.179921582397,1863.4825608614233,0.007376492023468018,286.9310334737828,1863.8589946161048
3,0.6987213948193718,0.9997994303703308,571.239612593633,852.3447741104869,0.999966561794281,614.5984755383895,805.8781015917604,0.9999697208404541,523.2275573501873,807.7822887406368,0.9997058510780334,673.1070780664795,835.6018112125469,0.9995153546333313,472.8822126638577,839.9667895599251,0.9797822833061218,813.3299683988764,1066.9753628277153,0.9801725745201111,349.8210732677903,1074.223285346442,0.956714391708374,945.5568235018727,1394.8051264044943,0.899516224861145,205.70078417602997,1421.588834269663,0.9989575147628784,752.1553868211611,1213.0580670646068,0.9942784309387207,415.6644282537453,1229.0651334269664,0.5971517562866211,708.1257315074906,1726.7227001404494,0.430222749710083,706.387889161985,1849.736949906367,0.006821572780609131,249.49782010767797,1324.942649812734,0.0070816874504089355,415.2359843164794,1985.421640917603,0.019693523645401,282.8543422284645,1858.0967638108614,0.008914083242416382,277.08333333333337,1861.0795587546818
4,0.6983601398327771,0.9997982382774353,571.5665232911986,852.638986423221,0.9999642372131348,614.974762991573,806.2990841526217,0.9999691247940063,523.3565952715356,808.409849016854,0.9997162818908691,674.5465385065543,835.3810422518727,0.9995125532150269,472.97665028089887,840.6889337546817,0.9795924425125122,810.10548338015,1066.579617275281,0.9780797958374023,348.36105746722853,1073.8473636470037,0.9526704549789429,947.5444756554307,1395.033210440075,0.8489447832107544,207.71147881554305,1419.8674508426966,0.9983307719230652,753.299610838015,1214.6155196629213,0.9923070669174194,401.3566537921348,1231.348753511236,0.6127947568893433,720.8768580290262,1736.834767088015,0.46935996413230896,424.7226855102997,1833.8493387172284,0.005761831998825073,354.4147940074906,1975.8617158239701,0.008356094360351562,371.7084357443821,1972.4423572097378,0.015729188919067383,286.5231448970038,1857.9393433988764,0.011234790086746216,289.8779845505618,1870.489524812734
5,0.711073621230967,0.9998165369033813,571.2022325608615,852.8214243913858,0.9999634027481079,614.4849455758426,805.9105805243446,0.9999699592590332,523.2353113295881,808.4506671348315,0.9997545480728149,674.4848724250937,835.6459211142322,0.9994710683822632,473.3372834737828,840.5956665496255,0.9787946939468384,809.4408356741574,1066.301717579588,0.9793202877044678,351.5542339653558,1075.4461464185395,0.9538192749023438,936.5758134363296,1387.3510650749065,0.896504819393158,209.85603932584274,1417.9829412453184,0.9988687038421631,751.8600772471912,1214.6974485018727,0.993240237236023,406.0015800561798,1228.4238939606741,0.6615145206451416,374.92714185393265,1835.1588834269664,0.5879898071289062,419.8539179541199,1779.3621254681648,0.005001038312911987,931.1398349719102,1355.3417602996255,0.009682685136795044,411.36374941479403,1992.682584269663,0.013062775135040283,290.6208304073034,1858.996956928839,0.01147720217704773,288.63200784176036,1868.6629506086142
6,0.7120712785159841,0.9997891783714294,570.549142673221,852.7144048455057,0.9999648332595825,614.0789589185395,806.1010650749064,0.9999703168869019,522.7920909410112,808.2838834269663,0.9997581243515015,674.2081431413858,835.4549976591761,0.999488115310669,473.22594803370794,840.7133661048689,0.9733183979988098,812.9529494382023,1067.9715297284645,0.9781806468963623,348.42360135767797,1077.6980922284645,0.9539926052093506,940.3862359550562,1385.1784878277153,0.8793679475784302,210.0144106975656,1422.1456577715355,0.9992045164108276,747.6239173689139,1217.7343018492509,0.9929357767105103,402.7295470505618,1229.7515800561798,0.7322057485580444,399.9865402621723,1832.1594101123596,0.5544396042823792,416.13325140449444,1773.2101474719102,0.005185842514038086,608.5797050561798,1855.886879681648,0.008705615997314453,403.78086961610495,1989.3562734082398,0.018519610166549683,286.6265800561798,1861.0227937734082,0.01018485426902771,292.9965472846442,1874.8285346441949
7,0.6966345257618848,0.9998059272766113,570.7725450608615,852.6179190074906,0.99996417760849,613.9592842930713,806.0830699906368,0.9999706745147705,523.1634041432585,808.3935363998128,0.9997313022613525,673.8472173455057,834.7685510299626,0.9994974732398987,472.5083391853933,841.2102059925094,0.9784442186355591,809.7404611423221,1067.180770131086,0.9781737327575684,356.2348577949439,1076.344071863296,0.9354828596115112,940.0196044007491,1383.9416549625469,0.8899683952331543,206.94039676966293,1422.709064840824,0.9989783763885498,757.6860955056179,1221.4157595973784,0.9904540777206421,406.02411048689146,1226.0037014279026,0.5753155946731567,401.0472261235956,1851.4056647940076,0.46017372608184814,428.0369264981274,1779.3725128745318,0.007536023855209351,412.58119733146066,1860.0643726591761,0.012070387601852417,404.10902387640454,1878.0783298220974,0.008343756198883057,312.1648232677903,1842.8765800561798,0.008876234292984009,294.6097407537453,1874.7634304775281
8,0.7129605955937329,0.999819278717041,570.4741631554308,852.535624414794,0.9999637603759766,614.1335293773409,805.8107297518727,0.9999682903289795,521.0947009597379,808.1573326310862,0.999701738357544,673.7135709269664,834.8229751872659,0.9994745254516602,472.779143258427,840.0567649812734,0.9798495173454285,807.0051351825844,1066.1988676264045,0.9691500663757324,350.84350128745325,1073.5249882958801,0.9410791397094727,942.3042485955057,1382.1595564138577,0.9058170318603516,213.3402095037453,1417.864144428839,0.9991670846939087,753.6538067649813,1227.142585440075,0.9943047165870667,404.7275866104869,1223.4881934691011,0.5971035361289978,409.2306004213483,1835.5329763576779,0.6934201121330261,420.0956811797753,1816.4066889044943,0.006793618202209473,511.7904377340824,1906.3560685861423,0.009026020765304565,610.2215004681648,1770.9761235955057,0.009704113006591797,296.74552317415737,1857.9094978932585,0.0159875750541687,291.7289911048689,1873.933900983146
9,0.694794253391378,0.999845027923584,569.4213044241574,852.59765625,0.9999538660049438,612.8812617041199,805.9462049391386,0.9999643564224243,520.2822887406368,808.1289501404494,0.9995864033699036,672.6896798923221,835.1223812031835,0.9995402097702026,471.87156191479403,841.2592901451311,0.9809028506278992,806.2309076544943,1066.0786077949438,0.9753233790397644,351.84215531367045,1075.4544856039327,0.9457504749298096,944.893053604869,1387.1781367041199,0.8923540115356445,209.8760826310862,1417.5049742509364,0.9990561008453369,757.5477674391386,1229.3341818820224,0.9967705607414246,417.9675064372659,1217.9312236657304,0.5668900609016418,724.32891502809,1731.1003335674159,0.4192882776260376,730.3805301966293,1829.594305945693,0.006220906972885132,243.31526509831463,1331.0656601123596,0.007280886173248291,787.7507607677903,1658.2692532771537,0.009961426258087158,292.0418568586142,1840.5470213014983,0.0128135085105896,298.2934661750936,1837.1190308988764
